,number,smiles,mapped_smiles,component_name,n_conformers
31,32,Cn1ccnc1,[H:11][C:4]1=[C:3]([N:2]([C:6](=[N:5]1)[H:12])[C:1]([H:7])([H:8])[H:9])[H:10],component-032,1
32,33,CCC(O)CC,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([H:12])([C:5]([H:14])([H:15])[C:6]([H:16])([H:17])[H:18])[O:4][H:13],component-033,5
33,34,C1CCNCC1,[H:7][C:1]1([C:2]([C:3]([N:4]([C:5]([C:6]1([H:16])[H:17])([H:14])[H:15])[H:13])([H:11])[H:12])([H:9])[H:10])[H:8],component-034,3
34,35,CNC(C)=O,[H:10][C:4]([H:11])([H:12])[C:3](=[O:5])[N:2]([H:9])[C:1]([H:6])([H:7])[H:8],component-035,1
35,36,CCCCCCCCN,[H:10][C:1]([H:11])([H:12])[C:2]([H:13])([H:14])[C:3]([H:15])([H:16])[C:4]([H:17])([H:18])[C:5]([H:19])([H:20])[C:6]([H:21])([H:22])[C:7]([H:23])([H:24])[C:8]([H:25])([H:26])[N:9]([H:27])[H:28],component-036,10
36,37,CCN(CC)CC,[H:8][C:1]([H:9])([H:10])[C:2]([H:11])([H:12])[N:3]([C:4]([H:13])([H:14])[C:5]([H:15])([H:16])[H:17])[C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[H:22],component-037,4
37,38,OC1CCCCC1,[H:14][C:5]1([C:4]([C:3]([C:2]([C:7]([C:6]1([H:16])[H:17])([H:18])[H:19])([H:9])[O:1][H:8])([H:10])[H:11])([H:12])[H:13])[H:15],component-038,3
38,39,Oc1ccccc1,[H:11][c:5]1[c:4]([c:3]([c:2]([c:7]([c:6]1[H:12])[H:13])[O:1][H:8])[H:9])[H:10],component-039,1
39,40,CN1CCCCC1,[H:15][C:5]1([C:4]([C:3]([N:2]([C:7]([C:6]1([H:17])[H:18])([H:19])[H:20])[C:1]([H:8])([H:9])[H:10])([H:11])[H:12])([H:13])[H:14])[H:16],component-040,3
40,41,CN1CCOCC1,[H:11][C:3]1([C:4]([O:5][C:6]([C:7]([N:2]1[C:1]([H:8])([H:9])[H:10])([H:17])[H:18])([H:15])[H:16])([H:13])[H:14])[H:12],component-041,1
41,42,CN1CCNCC1,[H:13][C:4]1([C:3]([N:2]([C:7]([C:6]([N:5]1[H:15])([H:16])[H:17])([H:18])[H:19])[C:1]([H:8])([H:9])[H:10])([H:11])[H:12])[H:14],component-042,1
42,43,CC(C)(C)O,[H:6][C:1]([H:7])([H:8])[C:2]([C:3]([H:9])([H:10])[H:11])([C:4]([H:12])([H:13])[H:14])[O:5][H:15],component-043,1
43,44,OC1CCCCCC1,[H:15][C:5]1([C:6]([C:7]([C:8]([C:2]([C:3]([C:4]1([H:13])[H:14])([H:11])[H:12])([H:10])[O:1][H:9])([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[H:16],component-044,5
44,45,CCC(C)(C)O,[H:7][C:1]([H:8])([H:9])[C:2]([H:10])([H:11])[C:3]([C:4]([H:12])([H:13])[H:14])([C:5]([H:15])([H:16])[H:17])[O:6][H:18],component-045,2
45,46,c1cc[nH]c1,[H:6][C:1]1=[C:5]([N:4]([C:3](=[C:2]1[H:7])[H:8])[H:9])[H:10],component-046,1
