,component_number,conformer_number,charge_method,environment,atom_index,symbol,charge
0,1,0,atb_lowest,atb,0,C,0.322
1,1,0,atb_lowest,atb,1,N,-1.013000008
2,1,0,atb_lowest,atb,2,H,-0.022999997
3,1,0,atb_lowest,atb,3,H,-0.022999997
4,1,0,atb_lowest,atb,4,H,-0.022999997
5,1,0,atb_lowest,atb,5,H,0.379999999
6,1,0,atb_lowest,atb,6,H,0.379999999
7,1,0,elf10,openeye,0,C,0.145940001
8,1,0,elf10,openeye,2,H,0.025769995
9,1,0,elf10,openeye,3,H,0.025769995
10,1,0,elf10,openeye,4,H,0.025769995
11,1,0,elf10,openeye,5,H,0.346940006
12,1,0,elf10,openeye,6,H,0.346940006
13,1,0,elf10,openeye,1,N,-0.917129998
0,1,0,resp,vacuum,0,C,0.261971563
1,1,0,resp,vacuum,1,N,-0.973166891
2,1,0,resp,vacuum,2,H,-0.006379324
3,1,0,resp,vacuum,3,H,-0.006379324
4,1,0,resp,vacuum,4,H,-0.006379324
5,1,0,resp,vacuum,5,H,0.36516665
6,1,0,resp,vacuum,6,H,0.36516665
0,1,0,resp2,solvated,0,C,0.320423308
1,1,0,resp2,solvated,1,N,-1.084501812
2,1,0,resp2,solvated,2,H,-0.013223271
3,1,0,resp2,solvated,3,H,-0.013223271
4,1,0,resp2,solvated,4,H,-0.013223271
5,1,0,resp2,solvated,5,H,0.401874158
6,1,0,resp2,solvated,6,H,0.401874158
0,1,0,resp2,vacuum,0,C,0.23807556
1,1,0,resp2,vacuum,1,N,-0.891271473
2,1,0,resp2,vacuum,2,H,-0.00508321
3,1,0,resp2,vacuum,3,H,-0.00508321
4,1,0,resp2,vacuum,4,H,-0.00508321
5,1,0,resp2,vacuum,5,H,0.334222772
6,1,0,resp2,vacuum,6,H,0.334222772
14,1,0,resp2_d06,d=0.6,0,,0.287484209
15,1,0,resp2_d06,d=0.6,1,,-1.007209676
16,1,0,resp2_d06,d=0.6,2,,-0.009967247
17,1,0,resp2_d06,d=0.6,3,,-0.009967247
18,1,0,resp2_d06,d=0.6,4,,-0.009967247
19,1,0,resp2_d06,d=0.6,5,,0.374813604
20,1,0,resp2_d06,d=0.6,6,,0.374813604
0,1,1,am1bcc,openeye,0,C,0.145940001
1,1,1,am1bcc,openeye,1,N,-0.917129998
2,1,1,am1bcc,openeye,2,H,0.025769995
3,1,1,am1bcc,openeye,3,H,0.025769995
4,1,1,am1bcc,openeye,4,H,0.025769995
5,1,1,am1bcc,openeye,5,H,0.346940006
6,1,1,am1bcc,openeye,6,H,0.346940006
0,1,1,atb_conformer,atb,0,C,0.322
1,1,1,atb_conformer,atb,1,N,-1.013000008
2,1,1,atb_conformer,atb,2,H,-0.022999997
3,1,1,atb_conformer,atb,3,H,-0.022999997
4,1,1,atb_conformer,atb,4,H,-0.022999997
5,1,1,atb_conformer,atb,5,H,0.379999999
6,1,1,atb_conformer,atb,6,H,0.379999999
0,1,1,atb_lowest,atb,0,C,0.322
1,1,1,atb_lowest,atb,1,N,-1.013000008
2,1,1,atb_lowest,atb,2,H,-0.022999997
3,1,1,atb_lowest,atb,3,H,-0.022999997
4,1,1,atb_lowest,atb,4,H,-0.022999997
5,1,1,atb_lowest,atb,5,H,0.379999999
6,1,1,atb_lowest,atb,6,H,0.379999999
0,1,1,resp,vacuum,0,C,0.261971563
1,1,1,resp,vacuum,1,N,-0.973166891
2,1,1,resp,vacuum,2,H,-0.006379324
3,1,1,resp,vacuum,3,H,-0.006379324
4,1,1,resp,vacuum,4,H,-0.006379324
5,1,1,resp,vacuum,5,H,0.36516665
6,1,1,resp,vacuum,6,H,0.36516665
0,1,1,resp2,solvated,0,C,0.320423308
1,1,1,resp2,solvated,1,N,-1.084501812
2,1,1,resp2,solvated,2,H,-0.013223271
3,1,1,resp2,solvated,3,H,-0.013223271
4,1,1,resp2,solvated,4,H,-0.013223271
5,1,1,resp2,solvated,5,H,0.401874158
6,1,1,resp2,solvated,6,H,0.401874158
0,1,1,resp2,vacuum,0,C,0.23807556
1,1,1,resp2,vacuum,1,N,-0.891271473
2,1,1,resp2,vacuum,2,H,-0.00508321
3,1,1,resp2,vacuum,3,H,-0.00508321
4,1,1,resp2,vacuum,4,H,-0.00508321
5,1,1,resp2,vacuum,5,H,0.334222772
6,1,1,resp2,vacuum,6,H,0.334222772
21,1,1,resp2_d06,d=0.6,0,,0.287484209
22,1,1,resp2_d06,d=0.6,1,,-1.007209676
23,1,1,resp2_d06,d=0.6,2,,-0.009967247
24,1,1,resp2_d06,d=0.6,3,,-0.009967247
25,1,1,resp2_d06,d=0.6,4,,-0.009967247
26,1,1,resp2_d06,d=0.6,5,,0.374813604
27,1,1,resp2_d06,d=0.6,6,,0.374813604
0,2,0,atb_lowest,atb,0,C,0.158999996
1,2,0,atb_lowest,atb,1,O,-0.661999999
2,2,0,atb_lowest,atb,2,H,0.024000002
3,2,0,atb_lowest,atb,3,H,0.024000002
4,2,0,atb_lowest,atb,4,H,0.024000002
5,2,0,atb_lowest,atb,5,H,0.430999996
20,2,0,elf10,openeye,0,C,0.116690005
21,2,0,elf10,openeye,2,H,0.028510004
22,2,0,elf10,openeye,3,H,0.028510004
23,2,0,elf10,openeye,4,H,0.028510004
24,2,0,elf10,openeye,5,H,0.396589998
25,2,0,elf10,openeye,1,O,-0.598810014
0,2,0,resp,vacuum,0,C,0.146414561
1,2,0,resp,vacuum,1,O,-0.652509341
2,2,0,resp,vacuum,2,H,0.029526917
3,2,0,resp,vacuum,3,H,0.029526917
4,2,0,resp,vacuum,4,H,0.029526917
5,2,0,resp,vacuum,5,H,0.41751403
0,2,0,resp2,solvated,0,C,0.093740436
1,2,0,resp2,solvated,1,O,-0.674111792
2,2,0,resp2,solvated,2,H,0.047617542
3,2,0,resp2,solvated,3,H,0.047617542
4,2,0,resp2,solvated,4,H,0.047617542
5,2,0,resp2,solvated,5,H,0.437518729
0,2,0,resp2,vacuum,0,C,0.064526713
1,2,0,resp2,vacuum,1,O,-0.575931792
2,2,0,resp2,vacuum,2,H,0.043189091
3,2,0,resp2,vacuum,3,H,0.043189091
4,2,0,resp2,vacuum,4,H,0.043189091
5,2,0,resp2,vacuum,5,H,0.381837807
40,2,0,resp2_d06,d=0.6,0,,0.082054947
41,2,0,resp2_d06,d=0.6,1,,-0.634839792
42,2,0,resp2_d06,d=0.6,2,,0.045846162
43,2,0,resp2_d06,d=0.6,3,,0.045846162
44,2,0,resp2_d06,d=0.6,4,,0.045846162
45,2,0,resp2_d06,d=0.6,5,,0.41524636
0,2,1,am1bcc,openeye,0,C,0.116690005
1,2,1,am1bcc,openeye,1,O,-0.598810014
2,2,1,am1bcc,openeye,2,H,0.028510004
3,2,1,am1bcc,openeye,3,H,0.028510004
4,2,1,am1bcc,openeye,4,H,0.028510004
5,2,1,am1bcc,openeye,5,H,0.396589998
0,2,1,atb_conformer,atb,0,C,0.175
1,2,1,atb_conformer,atb,1,O,-0.665000018
2,2,1,atb_conformer,atb,2,H,0.020000003
3,2,1,atb_conformer,atb,3,H,0.020000003
4,2,1,atb_conformer,atb,4,H,0.020000003
5,2,1,atb_conformer,atb,5,H,0.43000001
0,2,1,atb_lowest,atb,0,C,0.158999996
1,2,1,atb_lowest,atb,1,O,-0.661999999
2,2,1,atb_lowest,atb,2,H,0.024000002
3,2,1,atb_lowest,atb,3,H,0.024000002
4,2,1,atb_lowest,atb,4,H,0.024000002
5,2,1,atb_lowest,atb,5,H,0.430999996
0,2,1,resp,vacuum,0,C,0.146414561
1,2,1,resp,vacuum,1,O,-0.652509341
2,2,1,resp,vacuum,2,H,0.029526917
3,2,1,resp,vacuum,3,H,0.029526917
4,2,1,resp,vacuum,4,H,0.029526917
5,2,1,resp,vacuum,5,H,0.41751403
0,2,1,resp2,solvated,0,C,0.093740436
1,2,1,resp2,solvated,1,O,-0.674111792
2,2,1,resp2,solvated,2,H,0.047617542
3,2,1,resp2,solvated,3,H,0.047617542
4,2,1,resp2,solvated,4,H,0.047617542
5,2,1,resp2,solvated,5,H,0.437518729
0,2,1,resp2,vacuum,0,C,0.064526713
1,2,1,resp2,vacuum,1,O,-0.575931792
2,2,1,resp2,vacuum,2,H,0.043189091
3,2,1,resp2,vacuum,3,H,0.043189091
4,2,1,resp2,vacuum,4,H,0.043189091
5,2,1,resp2,vacuum,5,H,0.381837807
46,2,1,resp2_d06,d=0.6,0,,0.082054947
47,2,1,resp2_d06,d=0.6,1,,-0.634839792
48,2,1,resp2_d06,d=0.6,2,,0.045846162
49,2,1,resp2_d06,d=0.6,3,,0.045846162
50,2,1,resp2_d06,d=0.6,4,,0.045846162
51,2,1,resp2_d06,d=0.6,5,,0.41524636
0,3,0,atb_lowest,atb,0,C,-0.319999993
1,3,0,atb_lowest,atb,1,C,0.381999999
2,3,0,atb_lowest,atb,2,O,-0.704999984
3,3,0,atb_lowest,atb,3,H,0.079999998
4,3,0,atb_lowest,atb,4,H,0.079999998
5,3,0,atb_lowest,atb,5,H,0.079999998
6,3,0,atb_lowest,atb,6,H,-0.012000001
7,3,0,atb_lowest,atb,7,H,-0.012000001
8,3,0,atb_lowest,atb,8,H,0.426999986
36,3,0,elf10,openeye,0,C,-0.097209996
37,3,0,elf10,openeye,1,C,0.130930008
38,3,0,elf10,openeye,3,H,0.04474
39,3,0,elf10,openeye,4,H,0.04474
40,3,0,elf10,openeye,5,H,0.04474
41,3,0,elf10,openeye,6,H,0.017610002
42,3,0,elf10,openeye,7,H,0.017610002
43,3,0,elf10,openeye,8,H,0.397839994
44,3,0,elf10,openeye,2,O,-0.60100001
0,3,0,resp,vacuum,0,C,-0.094921758
1,3,0,resp,vacuum,1,C,0.373013761
2,3,0,resp,vacuum,2,O,-0.679736744
3,3,0,resp,vacuum,3,H,0.030004234
4,3,0,resp,vacuum,4,H,0.030004234
5,3,0,resp,vacuum,5,H,0.030004234
6,3,0,resp,vacuum,6,H,-0.047684732
7,3,0,resp,vacuum,7,H,-0.047684732
8,3,0,resp,vacuum,8,H,0.407001503
0,3,0,resp2,solvated,0,C,-0.255829754
1,3,0,resp2,solvated,1,C,0.387792676
2,3,0,resp2,solvated,2,O,-0.718977131
3,3,0,resp2,solvated,3,H,0.072655234
4,3,0,resp2,solvated,4,H,0.072655234
5,3,0,resp2,solvated,5,H,0.072655234
6,3,0,resp2,solvated,6,H,-0.027116323
7,3,0,resp2,solvated,7,H,-0.027116323
8,3,0,resp2,solvated,8,H,0.423281153
0,3,0,resp2,vacuum,0,C,-0.231628465
1,3,0,resp2,vacuum,1,C,0.383665427
2,3,0,resp2,vacuum,2,O,-0.619382313
3,3,0,resp2,vacuum,3,H,0.066692424
4,3,0,resp2,vacuum,4,H,0.066692424
5,3,0,resp2,vacuum,5,H,0.066692424
6,3,0,resp2,vacuum,6,H,-0.050288376
7,3,0,resp2,vacuum,7,H,-0.050288376
8,3,0,resp2,vacuum,8,H,0.367844831
72,3,0,resp2_d06,d=0.6,0,,-0.246149238
73,3,0,resp2_d06,d=0.6,1,,0.386141777
74,3,0,resp2_d06,d=0.6,2,,-0.679139204
75,3,0,resp2_d06,d=0.6,3,,0.07027011
76,3,0,resp2_d06,d=0.6,4,,0.07027011
77,3,0,resp2_d06,d=0.6,5,,0.07027011
78,3,0,resp2_d06,d=0.6,6,,-0.036385144
79,3,0,resp2_d06,d=0.6,7,,-0.036385144
80,3,0,resp2_d06,d=0.6,8,,0.401106624
0,3,1,am1bcc,openeye,0,C,-0.097209996
1,3,1,am1bcc,openeye,1,C,0.130930008
2,3,1,am1bcc,openeye,2,O,-0.60100001
3,3,1,am1bcc,openeye,3,H,0.04474
4,3,1,am1bcc,openeye,4,H,0.04474
5,3,1,am1bcc,openeye,5,H,0.04474
6,3,1,am1bcc,openeye,6,H,0.017610002
7,3,1,am1bcc,openeye,7,H,0.017610002
8,3,1,am1bcc,openeye,8,H,0.397839994
0,3,1,atb_conformer,atb,0,C,-0.27000001
1,3,1,atb_conformer,atb,1,C,0.382999987
2,3,1,atb_conformer,atb,2,O,-0.686999976
3,3,1,atb_conformer,atb,3,H,0.075000004
4,3,1,atb_conformer,atb,4,H,0.075000004
5,3,1,atb_conformer,atb,5,H,0.075000004
6,3,1,atb_conformer,atb,6,H,-0.032000001
7,3,1,atb_conformer,atb,7,H,-0.032000001
8,3,1,atb_conformer,atb,8,H,0.412999988
0,3,1,atb_lowest,atb,0,C,-0.319999993
1,3,1,atb_lowest,atb,1,C,0.381999999
2,3,1,atb_lowest,atb,2,O,-0.704999984
3,3,1,atb_lowest,atb,3,H,0.079999998
4,3,1,atb_lowest,atb,4,H,0.079999998
5,3,1,atb_lowest,atb,5,H,0.079999998
6,3,1,atb_lowest,atb,6,H,-0.012000001
7,3,1,atb_lowest,atb,7,H,-0.012000001
8,3,1,atb_lowest,atb,8,H,0.426999986
0,3,1,resp,vacuum,0,C,-0.094921758
1,3,1,resp,vacuum,1,C,0.373013761
2,3,1,resp,vacuum,2,O,-0.679736744
3,3,1,resp,vacuum,3,H,0.030004234
4,3,1,resp,vacuum,4,H,0.030004234
5,3,1,resp,vacuum,5,H,0.030004234
6,3,1,resp,vacuum,6,H,-0.047684732
7,3,1,resp,vacuum,7,H,-0.047684732
8,3,1,resp,vacuum,8,H,0.407001503
0,3,1,resp2,solvated,0,C,-0.255829754
1,3,1,resp2,solvated,1,C,0.387792676
2,3,1,resp2,solvated,2,O,-0.718977131
3,3,1,resp2,solvated,3,H,0.072655234
4,3,1,resp2,solvated,4,H,0.072655234
5,3,1,resp2,solvated,5,H,0.072655234
6,3,1,resp2,solvated,6,H,-0.027116323
7,3,1,resp2,solvated,7,H,-0.027116323
8,3,1,resp2,solvated,8,H,0.423281153
0,3,1,resp2,vacuum,0,C,-0.231628465
1,3,1,resp2,vacuum,1,C,0.383665427
2,3,1,resp2,vacuum,2,O,-0.619382313
3,3,1,resp2,vacuum,3,H,0.066692424
4,3,1,resp2,vacuum,4,H,0.066692424
5,3,1,resp2,vacuum,5,H,0.066692424
6,3,1,resp2,vacuum,6,H,-0.050288376
7,3,1,resp2,vacuum,7,H,-0.050288376
8,3,1,resp2,vacuum,8,H,0.367844831
81,3,1,resp2_d06,d=0.6,0,,-0.246149238
82,3,1,resp2_d06,d=0.6,1,,0.386141777
83,3,1,resp2_d06,d=0.6,2,,-0.679139204
84,3,1,resp2_d06,d=0.6,3,,0.07027011
85,3,1,resp2_d06,d=0.6,4,,0.07027011
86,3,1,resp2_d06,d=0.6,5,,0.07027011
87,3,1,resp2_d06,d=0.6,6,,-0.036385144
88,3,1,resp2_d06,d=0.6,7,,-0.036385144
89,3,1,resp2_d06,d=0.6,8,,0.401106624
0,4,0,atb_lowest,atb,0,C,-0.389999991
1,4,0,atb_lowest,atb,1,C,0.471999997
2,4,0,atb_lowest,atb,2,N,-1.057999974
3,4,0,atb_lowest,atb,3,H,0.085999997
4,4,0,atb_lowest,atb,4,H,0.085999997
5,4,0,atb_lowest,atb,5,H,0.085999997
6,4,0,atb_lowest,atb,6,H,-0.023000006
7,4,0,atb_lowest,atb,7,H,-0.023000006
8,4,0,atb_lowest,atb,8,H,0.381999994
9,4,0,atb_lowest,atb,9,H,0.381999994
45,4,0,elf10,openeye,0,C,-0.095290001
46,4,0,elf10,openeye,1,C,0.156469997
47,4,0,elf10,openeye,3,H,0.038199995
48,4,0,elf10,openeye,4,H,0.038199995
49,4,0,elf10,openeye,5,H,0.038199995
50,4,0,elf10,openeye,6,H,0.022699997
51,4,0,elf10,openeye,7,H,0.022699997
52,4,0,elf10,openeye,8,H,0.346390005
53,4,0,elf10,openeye,9,H,0.346390005
54,4,0,elf10,openeye,2,N,-0.913959984
0,4,0,resp,vacuum,0,C,-0.117603104
1,4,0,resp,vacuum,1,C,0.455397493
2,4,0,resp,vacuum,2,N,-1.019412562
3,4,0,resp,vacuum,3,H,0.023540006
4,4,0,resp,vacuum,4,H,0.023540006
5,4,0,resp,vacuum,5,H,0.023540006
6,4,0,resp,vacuum,6,H,-0.06118248
7,4,0,resp,vacuum,7,H,-0.06118248
8,4,0,resp,vacuum,8,H,0.366681558
9,4,0,resp,vacuum,9,H,0.366681558
0,4,0,resp2,solvated,0,C,-0.262216663
1,4,0,resp2,solvated,1,C,0.522066384
2,4,0,resp2,solvated,2,N,-1.09970094
3,4,0,resp2,solvated,3,H,0.06071492
4,4,0,resp2,solvated,4,H,0.06071492
5,4,0,resp2,solvated,5,H,0.06071492
6,4,0,resp2,solvated,6,H,-0.057057756
7,4,0,resp2,solvated,7,H,-0.057057756
8,4,0,resp2,solvated,8,H,0.385910986
9,4,0,resp2,solvated,9,H,0.385910986
0,4,0,resp2,vacuum,0,C,-0.218858681
1,4,0,resp2,vacuum,1,C,0.464680982
2,4,0,resp2,vacuum,2,N,-0.936230808
3,4,0,resp2,vacuum,3,H,0.050442551
4,4,0,resp2,vacuum,4,H,0.050442551
5,4,0,resp2,vacuum,5,H,0.050442551
6,4,0,resp2,vacuum,6,H,-0.06292421
7,4,0,resp2,vacuum,7,H,-0.06292421
8,4,0,resp2,vacuum,8,H,0.332464637
9,4,0,resp2,vacuum,9,H,0.332464637
90,4,0,resp2_d06,d=0.6,0,,-0.24487347
91,4,0,resp2_d06,d=0.6,1,,0.499112223
92,4,0,resp2_d06,d=0.6,2,,-1.034312887
93,4,0,resp2_d06,d=0.6,3,,0.056605972
94,4,0,resp2_d06,d=0.6,4,,0.056605972
95,4,0,resp2_d06,d=0.6,5,,0.056605972
96,4,0,resp2_d06,d=0.6,6,,-0.059404338
97,4,0,resp2_d06,d=0.6,7,,-0.059404338
98,4,0,resp2_d06,d=0.6,8,,0.364532446
99,4,0,resp2_d06,d=0.6,9,,0.364532446
0,4,1,am1bcc,openeye,0,C,-0.095290001
1,4,1,am1bcc,openeye,1,C,0.156469997
2,4,1,am1bcc,openeye,2,N,-0.913959984
3,4,1,am1bcc,openeye,3,H,0.038199995
4,4,1,am1bcc,openeye,4,H,0.038199995
5,4,1,am1bcc,openeye,5,H,0.038199995
6,4,1,am1bcc,openeye,6,H,0.022699997
7,4,1,am1bcc,openeye,7,H,0.022699997
8,4,1,am1bcc,openeye,8,H,0.346390005
9,4,1,am1bcc,openeye,9,H,0.346390005
0,4,1,atb_conformer,atb,0,C,-0.338999991
1,4,1,atb_conformer,atb,1,C,0.48500001
2,4,1,atb_conformer,atb,2,N,-1.032999997
3,4,1,atb_conformer,atb,3,H,0.080999996
4,4,1,atb_conformer,atb,4,H,0.080999996
5,4,1,atb_conformer,atb,5,H,0.080999996
6,4,1,atb_conformer,atb,6,H,-0.048000005
7,4,1,atb_conformer,atb,7,H,-0.048000005
8,4,1,atb_conformer,atb,8,H,0.37
9,4,1,atb_conformer,atb,9,H,0.37
0,4,1,atb_lowest,atb,0,C,-0.389999991
1,4,1,atb_lowest,atb,1,C,0.471999997
2,4,1,atb_lowest,atb,2,N,-1.057999974
3,4,1,atb_lowest,atb,3,H,0.085999997
4,4,1,atb_lowest,atb,4,H,0.085999997
5,4,1,atb_lowest,atb,5,H,0.085999997
6,4,1,atb_lowest,atb,6,H,-0.023000006
7,4,1,atb_lowest,atb,7,H,-0.023000006
8,4,1,atb_lowest,atb,8,H,0.381999994
9,4,1,atb_lowest,atb,9,H,0.381999994
0,4,1,resp,vacuum,0,C,-0.117603104
1,4,1,resp,vacuum,1,C,0.455397493
2,4,1,resp,vacuum,2,N,-1.019412562
3,4,1,resp,vacuum,3,H,0.023540006
4,4,1,resp,vacuum,4,H,0.023540006
5,4,1,resp,vacuum,5,H,0.023540006
6,4,1,resp,vacuum,6,H,-0.06118248
7,4,1,resp,vacuum,7,H,-0.06118248
8,4,1,resp,vacuum,8,H,0.366681558
9,4,1,resp,vacuum,9,H,0.366681558
0,4,1,resp2,solvated,0,C,-0.262216663
1,4,1,resp2,solvated,1,C,0.522066384
2,4,1,resp2,solvated,2,N,-1.09970094
3,4,1,resp2,solvated,3,H,0.06071492
4,4,1,resp2,solvated,4,H,0.06071492
5,4,1,resp2,solvated,5,H,0.06071492
6,4,1,resp2,solvated,6,H,-0.057057756
7,4,1,resp2,solvated,7,H,-0.057057756
8,4,1,resp2,solvated,8,H,0.385910986
9,4,1,resp2,solvated,9,H,0.385910986
0,4,1,resp2,vacuum,0,C,-0.218858681
1,4,1,resp2,vacuum,1,C,0.464680982
2,4,1,resp2,vacuum,2,N,-0.936230808
3,4,1,resp2,vacuum,3,H,0.050442551
4,4,1,resp2,vacuum,4,H,0.050442551
5,4,1,resp2,vacuum,5,H,0.050442551
6,4,1,resp2,vacuum,6,H,-0.06292421
7,4,1,resp2,vacuum,7,H,-0.06292421
8,4,1,resp2,vacuum,8,H,0.332464637
9,4,1,resp2,vacuum,9,H,0.332464637
100,4,1,resp2_d06,d=0.6,0,,-0.24487347
101,4,1,resp2_d06,d=0.6,1,,0.499112223
102,4,1,resp2_d06,d=0.6,2,,-1.034312887
103,4,1,resp2_d06,d=0.6,3,,0.056605972
104,4,1,resp2_d06,d=0.6,4,,0.056605972
105,4,1,resp2_d06,d=0.6,5,,0.056605972
106,4,1,resp2_d06,d=0.6,6,,-0.059404338
107,4,1,resp2_d06,d=0.6,7,,-0.059404338
108,4,1,resp2_d06,d=0.6,8,,0.364532446
109,4,1,resp2_d06,d=0.6,9,,0.364532446
0,5,0,atb_lowest,atb,0,C,-0.301999987
1,5,0,atb_lowest,atb,1,C,0.082999996
2,5,0,atb_lowest,atb,2,C,0.391999989
3,5,0,atb_lowest,atb,3,N,-1.029999972
4,5,0,atb_lowest,atb,4,H,0.068999998
5,5,0,atb_lowest,atb,5,H,0.068999998
6,5,0,atb_lowest,atb,6,H,0.068999998
7,5,0,atb_lowest,atb,7,H,-0.017000001
8,5,0,atb_lowest,atb,8,H,-0.017000001
9,5,0,atb_lowest,atb,9,H,-0.022
10,5,0,atb_lowest,atb,10,H,-0.022
11,5,0,atb_lowest,atb,11,H,0.363999992
12,5,0,atb_lowest,atb,12,H,0.363999992
55,5,0,elf10,openeye,0,C,-0.092710006
56,5,0,elf10,openeye,1,C,-0.083650003
57,5,0,elf10,openeye,2,C,0.162640003
58,5,0,elf10,openeye,4,H,0.033469998
59,5,0,elf10,openeye,5,H,0.033469998
60,5,0,elf10,openeye,6,H,0.033469998
61,5,0,elf10,openeye,7,H,0.044989997
62,5,0,elf10,openeye,8,H,0.044989997
63,5,0,elf10,openeye,9,H,0.022959997
64,5,0,elf10,openeye,10,H,0.022959997
65,5,0,elf10,openeye,11,H,0.348670003
66,5,0,elf10,openeye,12,H,0.348670003
67,5,0,elf10,openeye,3,N,-0.919929984
0,5,0,resp,vacuum,0,C,-0.115688253
1,5,0,resp,vacuum,1,C,0.01068172
2,5,0,resp,vacuum,2,C,0.26292533
3,5,0,resp,vacuum,3,N,-1.047566117
4,5,0,resp,vacuum,4,H,0.018940245
5,5,0,resp,vacuum,5,H,0.018940245
6,5,0,resp,vacuum,6,H,0.018940245
7,5,0,resp,vacuum,7,H,0.031134598
8,5,0,resp,vacuum,8,H,0.031134598
9,5,0,resp,vacuum,9,H,0.007511543
10,5,0,resp,vacuum,10,H,0.007511543
11,5,0,resp,vacuum,11,H,0.377767151
12,5,0,resp,vacuum,12,H,0.377767151
0,5,0,resp2,solvated,0,C,-0.243624805
1,5,0,resp2,solvated,1,C,0.027368342
2,5,0,resp2,solvated,2,C,0.35292328
3,5,0,resp2,solvated,3,N,-1.176216388
4,5,0,resp2,solvated,4,H,0.052199694
5,5,0,resp2,solvated,5,H,0.052199694
6,5,0,resp2,solvated,6,H,0.052199694
7,5,0,resp2,solvated,7,H,0.030463264
8,5,0,resp2,solvated,8,H,0.030463264
9,5,0,resp2,solvated,9,H,-0.003725332
10,5,0,resp2,solvated,10,H,-0.003725332
11,5,0,resp2,solvated,11,H,0.414737312
12,5,0,resp2,solvated,12,H,0.414737312
0,5,0,resp2,vacuum,0,C,-0.253765825
1,5,0,resp2,vacuum,1,C,0.038092372
2,5,0,resp2,vacuum,2,C,0.270882472
3,5,0,resp2,vacuum,3,N,-0.970262007
4,5,0,resp2,vacuum,4,H,0.055607461
5,5,0,resp2,vacuum,5,H,0.055607461
6,5,0,resp2,vacuum,6,H,0.055607461
7,5,0,resp2,vacuum,7,H,0.031095504
8,5,0,resp2,vacuum,8,H,0.031095504
9,5,0,resp2,vacuum,9,H,-0.001790736
10,5,0,resp2,vacuum,10,H,-0.001790736
11,5,0,resp2,vacuum,11,H,0.344810535
12,5,0,resp2,vacuum,12,H,0.344810535
110,5,0,resp2_d06,d=0.6,0,,-0.247681213
111,5,0,resp2_d06,d=0.6,1,,0.031657954
112,5,0,resp2_d06,d=0.6,2,,0.320106957
113,5,0,resp2_d06,d=0.6,3,,-1.093834635
114,5,0,resp2_d06,d=0.6,4,,0.053562801
115,5,0,resp2_d06,d=0.6,5,,0.053562801
116,5,0,resp2_d06,d=0.6,6,,0.053562801
117,5,0,resp2_d06,d=0.6,7,,0.03071616
118,5,0,resp2_d06,d=0.6,8,,0.03071616
119,5,0,resp2_d06,d=0.6,9,,-0.002951493
120,5,0,resp2_d06,d=0.6,10,,-0.002951493
121,5,0,resp2_d06,d=0.6,11,,0.386766601
122,5,0,resp2_d06,d=0.6,12,,0.386766601
0,5,1,am1bcc,openeye,0,C,-0.092710006
1,5,1,am1bcc,openeye,1,C,-0.083650003
2,5,1,am1bcc,openeye,2,C,0.162640003
3,5,1,am1bcc,openeye,3,N,-0.919929984
4,5,1,am1bcc,openeye,4,H,0.033469998
5,5,1,am1bcc,openeye,5,H,0.033469998
6,5,1,am1bcc,openeye,6,H,0.033469998
7,5,1,am1bcc,openeye,7,H,0.044989997
8,5,1,am1bcc,openeye,8,H,0.044989997
9,5,1,am1bcc,openeye,9,H,0.022959997
10,5,1,am1bcc,openeye,10,H,0.022959997
11,5,1,am1bcc,openeye,11,H,0.348670003
12,5,1,am1bcc,openeye,12,H,0.348670003
0,5,1,atb_conformer,atb,0,C,-0.379999992
1,5,1,atb_conformer,atb,1,C,0.113000001
2,5,1,atb_conformer,atb,2,C,0.361000005
3,5,1,atb_conformer,atb,3,N,-1.072000024
4,5,1,atb_conformer,atb,4,H,0.088000003
5,5,1,atb_conformer,atb,5,H,0.088000003
6,5,1,atb_conformer,atb,6,H,0.088000003
7,5,1,atb_conformer,atb,7,H,0.001000003
8,5,1,atb_conformer,atb,8,H,0.001000003
9,5,1,atb_conformer,atb,9,H,-0.028999996
10,5,1,atb_conformer,atb,10,H,-0.028999996
11,5,1,atb_conformer,atb,11,H,0.384999994
12,5,1,atb_conformer,atb,12,H,0.384999994
0,5,1,atb_lowest,atb,0,C,-0.301999987
1,5,1,atb_lowest,atb,1,C,0.082999996
2,5,1,atb_lowest,atb,2,C,0.391999989
3,5,1,atb_lowest,atb,3,N,-1.029999972
4,5,1,atb_lowest,atb,4,H,0.068999998
5,5,1,atb_lowest,atb,5,H,0.068999998
6,5,1,atb_lowest,atb,6,H,0.068999998
7,5,1,atb_lowest,atb,7,H,-0.017000001
8,5,1,atb_lowest,atb,8,H,-0.017000001
9,5,1,atb_lowest,atb,9,H,-0.022
10,5,1,atb_lowest,atb,10,H,-0.022
11,5,1,atb_lowest,atb,11,H,0.363999992
12,5,1,atb_lowest,atb,12,H,0.363999992
0,5,1,resp,vacuum,0,C,-0.115688253
1,5,1,resp,vacuum,1,C,0.01068172
2,5,1,resp,vacuum,2,C,0.26292533
3,5,1,resp,vacuum,3,N,-1.047566117
4,5,1,resp,vacuum,4,H,0.018940245
5,5,1,resp,vacuum,5,H,0.018940245
6,5,1,resp,vacuum,6,H,0.018940245
7,5,1,resp,vacuum,7,H,0.031134598
8,5,1,resp,vacuum,8,H,0.031134598
9,5,1,resp,vacuum,9,H,0.007511543
10,5,1,resp,vacuum,10,H,0.007511543
